"CONTACT","CONTPHONE","CONTRACT","DIMENSIONS","DOL_NUM","EVENTPRO_LOT","FEATURETYPE","INSPECTS","LOC_NAME","LOT_LOC","MAP_PAGE","NAMELABEL","OBJECTID","ORIG_FID","PRODUCT","SUB","TICKETS","URL","VENDORTYPE","y","x"
"","","20 Th Century Legends","","","SCOTT045","Vendor","OTHER","Scott Building","SCOTT-45","Page 20","20Th",475,488,"Bamboo Products ","","","","",35.796288,-78.708096
"","","College Of Veterinary Medicine/NCSU","","","SCOTT046","Vendor","OTHER","Scott Building","SCOTT-46","Page 20","NCSU Vet",476,489,"Selling Logo T-Shirts & Promotional","","","","",35.796313,-78.708111
"","","International Housewares, Inc.","","","SCOTT047","Vendor","OTHER","Scott Building","SCOTT-47","Page 20","Int'L House",477,490,"Steam Mops ","","","","",35.796337,-78.708125
"","","International Housewares, Inc.","","","SCOTT048","Vendor","OTHER","Scott Building","SCOTT-48","Page 20","Int'L House",478,491,"Steam Mop ","","","","",35.796362,-78.708139
"","","Florida's Best Inc.","","","SCOTT025","Vendor","OTHER","Scott Building","SCOTT-25","Page 20","Florida's Best",479,492,"Eye Glass Cleaner & Pain Relief Products","","","","",35.79607,-78.708042
"","","Mattress Firm","","","SCOTT026","Sponsor","OTHER","Scott Building","SCOTT-26","Page 20","Mattress Firm",480,493,"Mattress Firm - Sponsor","","","","",35.796094,-78.708057
"","","Mattress Firm","","","SCOTT027","Sponsor","OTHER","Scott Building","SCOTT-27","Page 20","Mattress Firm",481,494,"Mattress Firm - Sponsor","","","","",35.796118,-78.708071
"","","Mattress Firm","","","SCOTT028","Sponsor","OTHER","Scott Building","SCOTT-28","Page 20","Mattress Firm",482,495,"Mattress Firm - Sponsor","","","","",35.796143,-78.708085
"","","Mattress Firm","","","SCOTT029","Sponsor","OTHER","Scott Building","SCOTT-29","Page 20","Mattress Firm",483,496,"Mattress Firm - Sponsor","","","","",35.796167,-78.7081
"","","NC Language & Life Project","","","SCOTT030","Vendor","OTHER","Scott Building","SCOTT-30","Page 20","NC Language",484,497,"Give-Away Buttons, Brochures And Sell Dvds.","","","","",35.796192,-78.708114
